IP,max-speed,bandwidth,delay,datacenter,place
104.31.16.245,4193,32,131,Frankfurt,Europe
104.31.16.69,3949,30,112,Frankfurt,Europe
104.17.236.118,5240,40,363,Frankfurt,Europe
162.159.39.249,4672,36,110,Stockholm,Europe
104.20.184.171,5166,40,126,Frankfurt,Europe
162.159.38.254,5499,42,115,Stockholm,Europe
172.64.17.18,5177,40,103,Stockholm,Europe
NEW IPs BELOW,NEW IPs BELOW,NEW IPs BELOW,NEW IPs BELOW,NEW IPs BELOW,NEW IPs BELOW
104.31.16.167,4984,38,119,Frankfurt,Europe
172.67.27.36,5058,39,118,Frankfurt,Europe
104.17.236.5,4126,32,136,Frankfurt,Europe
104.17.236.224,4830,37,114,Frankfurt,Europe
104.17.236.44,4950,38,113,Frankfurt,Europe
162.159.39.37,4358,34,100,Stockholm,Europe
162.159.39.38,5702,44,100,Stockholm,Europe
162.159.39.83,5589,43,102,Stockholm,Europe
104.20.184.103,5238,40,114,Frankfurt,Europe
104.20.184.219,4023,31,120,Frankfurt,Europe
104.20.184.48,4117,32,126,Frankfurt,Europe
162.159.38.240,6356,49,096,Stockholm,Europe
162.159.38.31,6600,51,102,Stockholm,Europe
162.159.38.53,7148,55,103,Stockholm,Europe
162.159.38.29,5804,45,098,Stockholm,Europe
162.159.38.241,6709,52,101,Stockholm,Europe
162.159.38.51,4819,37,098,Stockholm,Europe
162.159.38.144,4902,38,102,Stockholm,Europe
162.159.38.221,5532,43,116,Stockholm,Europe
172.64.17.6,5649,44,100,Stockholm,Europe
172.64.17.22,7051,55,103,Stockholm,Europe
172.64.17.80,6730,52,100,Stockholm,Europe
172.64.49.180,5865,45,120,Frankfurt,Europe
104.22.47.199,4931,38,121,Frankfurt,Europe
172.64.49.246,5553,43,119,Frankfurt,Europe
172.64.49.90,4667,36,116,Frankfurt,Europe
172.64.49.34,4538,35,117,Frankfurt,Europe
172.64.49.213,4953,38,113,Frankfurt,Europe
172.64.49.98,5193,40,117,Frankfurt,Europe
172.64.49.212,4387,34,114,Frankfurt,Europe
